query_id	page_id	score
0	10	2
0	346	1
1	1414	1
1	1561	1
1	1566	1
1	1572	1
1	2686	1
1	2734	1
2	1057	2
2	1059	1
2	1497	1
2	1707	1
3	1060	2
3	1062	2
3	1071	1
3	1097	2
3	1119	2
3	1131	2
3	1132	2
3	1136	2
3	1181	1
3	1192	1
3	1210	2
3	1285	2
3	1294	2
3	1752	2
3	1852	2
3	1885	2
4	2706	2
4	2939	1
5	503	2
5	506	2
6	2639	1
6	2672	1
6	2681	1
6	2684	1
6	2727	2
6	2750	2
6	2761	1
6	2888	1
6	2911	1
6	2923	1
7	2669	1
7	2683	1
7	2867	1
8	2639	2
8	2650	2
8	2750	1
8	2794	2
8	2888	2
9	2687	2
9	2766	2
10	2193	2
10	2258	1
11	1242	2
12	749	1
12	760	1
12	772	1
12	1021	1
12	1227	1
12	1497	1
12	2672	1
12	2683	1
12	2888	1
12	2908	1
13	2552	2
14	576	2
14	577	2
14	771	2
14	1023	1
15	1058	2
15	1059	2
15	1062	2
15	1252	1
15	1829	2
16	1077	1
16	1173	1
16	1707	1
16	1807	1
16	2647	1
16	2652	1
16	2708	1
16	2783	1
16	2879	1
16	2890	1
16	2906	1
16	2917	1
16	2933	1
17	2687	2
17	2790	2
18	2713	1
18	2874	1
18	2877	1
18	2878	1
19	2874	2
20	2691	1
20	2695	2
21	1061	1
21	1062	1
21	1119	1
21	1152	2
21	1252	1
21	1286	1
21	1294	1
21	1718	2
21	2007	1
22	2687	1
22	2736	1
22	2778	1
22	2780	1
22	2781	1
23	451	1
23	1026	1
23	2879	1
24	2689	2
24	2715	2
24	2717	2
24	2869	2
24	2934	2
25	2639	1
25	2661	1
25	2694	1
25	2750	1
25	2761	1
25	2783	2
25	2888	1
25	2908	1
26	2659	1
26	2660	1
26	2664	1
26	2670	1
26	2900	2
26	2908	1
27	2338	2
27	2503	1
28	2649	1
28	2652	1
28	2653	1
28	2669	2
28	2891	1
28	2899	1
28	2900	1
28	2904	1
28	2916	1
28	2917	1
28	2921	1
29	2639	1
29	2650	1
29	2683	1
29	2838	1
30	1054	1
30	1075	1
30	1092	1
30	1741	1
30	1981	1
30	2031	1
30	2051	1
30	2074	1
30	2104	1
30	2138	1
30	2192	1
30	2221	1
30	2231	1
30	2233	1
30	2234	1
30	2236	1
30	2251	1
30	2266	1
30	2268	1
30	2274	1
31	2193	2
31	2211	1
31	2214	1
32	2193	2
33	1057	1
33	1076	1
33	1707	1
33	1741	1
33	1774	1
33	1807	1
33	1976	1
33	2649	1
33	2683	1
33	2783	1
33	2794	1
33	2885	1
33	2910	1
33	2915	1
33	2917	1
33	2940	1
34	2813	1
34	2814	2
34	2815	1
35	2658	2
35	2659	1
35	2903	2
35	2905	1
35	2907	2
35	2908	1
36	1057	1
36	1058	2
36	2650	1
36	2888	1
36	2916	1
36	2917	1
36	2922	1
37	1087	2
37	1089	2
37	1101	1
37	1198	2
37	1907	1
37	1929	2
38	477	1
38	534	1
38	535	1
38	536	1
38	577	1
38	1014	1
38	1017	1
38	1021	1
38	1022	1
38	1027	1
38	1035	1
38	1036	1
38	1095	1
38	1196	1
38	1940	1
38	2900	2
38	2906	1
39	129	1
40	1294	2
41	2064	2
41	2193	2
41	2202	2
41	2203	2
41	2204	2
41	2211	2
41	2242	1
42	6	1
42	9	2
42	385	2
42	2869	2
42	2870	2
43	1060	2
44	1292	2
44	1308	2
45	1119	1
45	1141	1
45	1175	1
46	1108	1
46	1206	1
46	1308	2
46	1330	1
46	1363	2
46	1441	1
46	1463	1
46	1829	2
47	331	1
47	345	1
47	2057	1
48	1208	1
48	1252	1
48	2689	2
48	2713	2
48	2715	2
48	2717	2
48	2849	2
48	2869	2
48	2874	1
48	2877	1
48	2879	1
48	2934	2
48	2936	1
48	2937	2
49	534	2
50	293	1
50	305	2
51	2251	1
51	2252	1
51	2253	1
52	2690	2
52	2869	1
52	2870	1
52	2890	1
52	2892	2
53	1097	2
53	1308	2
53	1718	2
53	1829	2
54	1940	1
54	2874	1
54	2875	1
54	2877	1
54	2879	1
54	2881	1
55	275	2
56	478	1
56	577	1
56	578	1
56	596	1
56	1022	1
56	1027	1
56	1030	1
56	1132	1
56	1136	1
56	1160	1
56	1197	1
56	1219	1
56	1232	1
56	1285	1
57	1186	1
57	1219	1
57	1230	1
57	1241	1
57	2689	1
57	2715	1
57	2849	1
57	2869	1
57	2936	1
58	2064	2
58	2066	1
58	2193	2
58	2203	2
58	2258	2
58	2261	1
58	2262	2
59	3	1
59	7	1
59	385	1
59	389	1
59	390	1
59	2888	1
60	3	1
60	5	1
60	7	1
60	227	1
60	228	2
60	389	1
61	1191	2
61	1252	1
62	577	2
63	28	1
63	33	1
63	42	1
63	86	1
63	158	1
63	163	1
63	390	1
63	399	1
63	411	1
63	418	1
63	423	1
63	1028	1
64	2366	1
64	2869	1
64	2870	1
64	2900	1
64	2903	1
64	2915	1
65	452	2
65	453	1
66	2673	2
67	7	2
67	385	2
67	389	2
67	390	1
68	9	1
68	241	1
68	242	1
68	387	1
68	391	1
68	407	1
68	408	1
68	436	1
69	1061	2
69	1062	2
70	2154	1
70	2155	1
70	2156	1
70	2157	1
70	2158	1
70	2159	1
70	2168	1
70	2169	1
70	2273	1
71	2844	2
72	2737	2
72	2740	1
72	2742	1
72	2743	1
72	2748	1
72	2754	1
72	2766	1
72	2782	1
72	2785	1
72	2787	1
72	2830	1
73	1090	1
73	1091	2
73	1159	1
73	1530	1
74	2066	1
74	2193	2
74	2258	2
75	649	2
76	2840	2
77	2689	2
77	2713	2
77	2717	2
77	2849	2
77	2869	2
77	2934	2
77	2937	2
78	2676	1
78	2840	1
78	2913	1
79	2742	2
79	2743	2
79	2831	2
80	1206	2
80	1441	2
81	143	1
81	144	1
81	145	1
81	207	1
81	395	1
81	410	1
81	420	1
82	243	1
82	385	1
82	403	1
82	410	1
82	414	1
82	422	1
83	1206	1
83	1352	1
83	1363	1
84	1014	1
84	1023	1
84	1028	1
84	1030	1
84	1062	1
84	1119	1
84	1208	1
84	1230	1
84	1752	1
84	1829	1
85	2662	1
85	2666	2
85	2670	1
85	2879	1
85	2905	1
85	2941	2
86	1940	2
87	294	1
87	300	1
87	304	1
87	305	1
87	306	1
87	307	1
87	308	1
87	313	1
87	316	1
87	319	1
87	321	1
87	327	1
87	331	1
87	332	1
87	336	1
87	337	1
87	338	1
87	344	1
87	350	1
88	1099	1
88	1105	1
88	1119	1
88	1285	1
88	1718	1
88	2689	1
88	2713	1
88	2937	1
89	1132	1
89	1184	1
89	1215	1
89	1277	1
89	1941	1
89	2669	1
