query_id	page_id	score
0	10	1
0	11	1
0	14	1
0	28	1
1	146	2
2	46	1
2	48	1
2	51	1
3	89	2
4	39	2
5	5	2
6	25	2
7	37	1
7	41	2
8	146	2
9	127	1
9	128	1
9	140	1
10	25	2
11	128	2
12	29	2
13	70	2
14	25	2
15	71	2
16	10	1
16	11	1
16	14	1
16	28	1
17	146	2
18	46	1
18	48	1
18	51	1
19	89	2
20	39	2
21	5	2
22	25	2
23	37	1
23	41	2
24	146	2
25	127	1
25	128	1
25	140	1
26	25	2
27	128	2
28	29	2
29	70	2
30	25	2
31	71	2
32	10	1
32	11	1
32	14	1
32	28	1
33	146	2
34	46	1
34	48	1
34	51	1
35	89	2
36	39	2
37	5	2
38	25	2
39	37	1
39	41	2
40	146	2
41	127	1
41	128	1
41	140	1
42	25	2
43	128	2
44	29	2
45	70	2
46	25	2
47	71	2
48	10	1
48	11	1
48	14	1
48	28	1
49	146	2
50	46	1
50	48	1
50	51	1
51	89	2
52	39	2
53	5	2
54	25	2
55	37	1
55	41	2
56	146	2
57	127	1
57	128	1
57	140	1
58	25	2
59	128	2
60	29	2
61	70	2
62	25	2
63	71	2
64	10	1
64	11	1
64	14	1
64	28	1
65	146	2
66	46	1
66	48	1
66	51	1
67	89	2
68	39	2
69	5	2
70	25	2
71	37	1
71	41	2
72	146	2
73	127	1
73	128	1
73	140	1
74	25	2
75	128	2
76	29	2
77	70	2
78	25	2
79	71	2
80	10	1
80	11	1
80	14	1
80	28	1
81	146	2
82	46	1
82	48	1
82	51	1
83	89	2
84	39	2
85	5	2
86	25	2
87	37	1
87	41	2
88	146	2
89	127	1
89	128	1
89	140	1
90	25	2
91	128	2
92	29	2
93	70	2
94	25	2
95	71	2
